chain,generation,participant,condition,entropy
chain4,3,full35,Transmission + Interaction,2.83907531424
chain4,3,full36,Transmission + Interaction,2.87688747813
chain4,4,full37,Transmission + Interaction,2.84404422481
chain4,4,full38,Transmission + Interaction,2.89531982246
chain4,5,full39,Transmission + Interaction,2.73245819227
chain4,5,full40,Transmission + Interaction,2.7854454446
chain5,0,seed5,Transmission + Interaction,3.47836478376
chain5,1,full41,Transmission + Interaction,3.38493502471
chain5,1,full42,Transmission + Interaction,3.22745870512
chain5,2,full43,Transmission + Interaction,3.22065215934
chain5,2,full44,Transmission + Interaction,3.00798047169
chain5,3,full45,Transmission + Interaction,3.01194200731
chain5,3,full46,Transmission + Interaction,3.0379050538
chain5,4,full47,Transmission + Interaction,3.24503407728
chain5,4,full48,Transmission + Interaction,3.14418875082
chain5,5,full49,Transmission + Interaction,3.0071336491
chain5,5,full50,Transmission + Interaction,3.14064249966
chain1,0,seed1,Interaction only,3.50860512385
chain1,1,dyad1,Interaction only,3.19931551764
chain1,1,dyad2,Interaction only,3.37164243615
chain1,2,dyad1,Interaction only,3.1087713969
chain1,2,dyad2,Interaction only,3.13444622283
chain1,3,dyad1,Interaction only,3.16950120039
chain1,3,dyad2,Interaction only,3.23644034057
chain1,4,dyad1,Interaction only,3.15135161335
chain1,4,dyad2,Interaction only,3.21714380926
chain1,5,dyad1,Interaction only,3.10179031214
chain1,5,dyad2,Interaction only,3.11441411742
chain2,0,seed2,Interaction only,3.58967535479
chain2,1,dyad3,Interaction only,3.28791952226
chain2,1,dyad4,Interaction only,3.14557916206
chain2,2,dyad3,Interaction only,3.25633191463
chain2,2,dyad4,Interaction only,2.99907798787
chain2,3,dyad3,Interaction only,3.01811721855
chain2,3,dyad4,Interaction only,3.07679271068
chain2,4,dyad3,Interaction only,3.05414395138
chain2,4,dyad4,Interaction only,3.08619883548
chain2,5,dyad3,Interaction only,2.99791043691
chain2,5,dyad4,Interaction only,3.04659687902
chain3,0,seed3,Interaction only,3.52235880931
chain3,1,dyad5,Interaction only,3.43586309056
chain3,1,dyad6,Interaction only,3.46065753545
chain3,2,dyad5,Interaction only,3.39269963853
chain3,2,dyad6,Interaction only,3.29822145761
chain3,3,dyad5,Interaction only,3.3950259344
chain3,3,dyad6,Interaction only,3.31309106219
chain3,4,dyad5,Interaction only,3.23796922916
chain3,4,dyad6,Interaction only,3.29944740036
chain3,5,dyad5,Interaction only,3.23654850028
chain3,5,dyad6,Interaction only,3.28390153866
chain4,0,seed4,Interaction only,3.62416025253
chain4,1,dyad7,Interaction only,3.15685490998
chain4,1,dyad8,Interaction only,3.33587486498
chain4,2,dyad7,Interaction only,3.25533522048
chain4,2,dyad8,Interaction only,3.29365384486
chain4,3,dyad7,Interaction only,3.29317294401
chain4,3,dyad8,Interaction only,3.21960654368
chain4,4,dyad7,Interaction only,3.3027174276
chain4,4,dyad8,Interaction only,3.04595934872
chain4,5,dyad7,Interaction only,3.21600975396
chain4,5,dyad8,Interaction only,3.04595934872
chain5,0,seed5,Interaction only,3.41838920345
chain5,1,dyad9,Interaction only,3.48869032493
chain5,1,dyad10,Interaction only,3.25078518733
chain5,2,dyad9,Interaction only,3.49699061649
chain5,2,dyad10,Interaction only,3.28957725526
chain5,3,dyad9,Interaction only,3.36523115174
chain5,3,dyad10,Interaction only,3.15966301967
chain5,4,dyad9,Interaction only,3.19839656585
chain5,4,dyad10,Interaction only,3.1524299479
chain5,5,dyad9,Interaction only,3.2157033507
chain5,5,dyad10,Interaction only,3.19328520693
chain1,0,seed1,Transmission only,3.45515471672
chain1,1,sing1,Transmission only,3.33580951845
chain1,2,sing8,Transmission only,3.09955425105
chain1,3,sing12,Transmission only,2.92995008341
chain1,4,sing13,Transmission only,3.18401345239
chain1,5,sing15,Transmission only,3.16867375798
chain2,0,seed2,Transmission only,3.61381465676
chain2,1,sing2,Transmission only,3.6550251526
chain2,2,sing7,Transmission only,3.72142152774
chain2,3,sing14,Transmission only,3.3369015308
chain2,4,sing20,Transmission only,3.24578406108
chain2,5,sing22,Transmission only,3.43138697236
chain3,0,seed3,Transmission only,3.53991492648
chain3,1,sing3,Transmission only,3.42197703194
chain3,2,sing11,Transmission only,3.36691622107
chain3,3,sing16,Transmission only,3.19828141348
chain3,4,sing19,Transmission only,2.99719704674
chain3,5,sing25,Transmission only,3.18677500537
chain4,0,seed4,Transmission only,3.47391755795
chain4,1,sing4,Transmission only,3.82830269722
chain4,2,sing9,Transmission only,3.60105468435
chain4,3,sing17,Transmission only,3.57309913215
chain4,4,sing19,Transmission only,3.58455076288
chain4,5,sing23,Transmission only,3.51545518934
chain5,0,seed5,Transmission only,3.53468141291
chain5,1,sing6,Transmission only,3.60949881477
chain5,2,sing10,Transmission only,3.72955151741
chain5,3,sing18,Transmission only,3.73699468928
chain5,4,sing21,Transmission only,3.76737166211
chain5,5,sing26,Transmission only,3.52714279304
